name,operator,lat,lon,sources,osm_id,wikidata_id,provider,region_code,facility_type,n_sources,ADMIN,ISO_A3,CONTINENT,SUBREGION,name_normalized,has_operator,in_both_sources,source_category,operator_norm,status,year,coord_confidence,cluster_id,address,source,note,osm_type,physical_facility,v6_layer,merge_status,merge_matched_name,merge_distance_m,confidence,operator_tier,_source_file
AWS Asia Pacific (Malaysia),AWS,3.139,101.687,Cloud Provider (AWS),,,AWS,ap-southeast-5,cloud_region,1,Malaysia,MYS,Asia,South-Eastern Asia,AWS Asia Pacific (Malaysia),True,False,Hyperscale Cloud,AWS,,,source_native,,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),,False,v5.1,,,,,,
Alibaba Cloud Malaysia (Kuala Lumpur),Alibaba,3.142,101.69,Cloud Provider (Alibaba),,,Alibaba,ap-southeast-3,cloud_region,1,Malaysia,MYS,Asia,South-Eastern Asia,Alibaba Cloud Malaysia (Kuala Lumpur),True,False,Hyperscale Cloud,Alibaba,,,source_native,,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),,False,v5.1,,,,,,
Azure Malaysia West,Azure,3.139,101.687,Cloud Provider (Azure),,,Azure,malaysiawest,cloud_region,1,Malaysia,MYS,Asia,South-Eastern Asia,Azure Malaysia West,True,False,Hyperscale Cloud,Azure,,,source_native,,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),,False,v5.1,,,,,,
Google Cloud asia-southeast3 (Malaysia),GCP,3.14,101.688,Cloud Provider (GCP),,,GCP,asia-southeast3,cloud_region,1,Malaysia,MYS,Asia,South-Eastern Asia,Google Cloud asia-southeast3 (Malaysia),True,False,Hyperscale Cloud,GCP,,,source_native,,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),,False,v5.1,,,,,,
IRIX DC,,1.7096888,110.3534142,OpenStreetMap,13197364001.0,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,IRIX Data Center,False,False,OSM Only,IRIX DC,,,source_native,,"1438, Jln Sultan, 93050 Kuching, Sarawak, Malaysia",,,,True,v5.1,,,,,,
Oracle Cloud Kuala Lumpur (kix),Oracle,3.141,101.689,Cloud Provider (Oracle),,,Oracle,ap-kuala-lumpur-1,cloud_region,1,Malaysia,MYS,Asia,South-Eastern Asia,Oracle Cloud Kuala Lumpur (kix),True,False,Hyperscale Cloud,Oracle,,,source_native,,Address not publicly disclosed,,logical_region; 1 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),,False,v5.1,,,,,,
Bridge Data Centres MY02 (Cyberjaya),Bridge Data Centres,2.9171543,101.6619044,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Bridge Data Centres MY02 (Cyberjaya),True,False,Trade Press,Bridge Data Centres,Unknown,2024.0,geocoded,,"7118, Jalan Impact, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",,,,True,v5.1,,,,,,
Bridge Data Centres (Johor),Bridge Data Centres,1.68,103.43,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Bridge Data Centres (Johor),True,False,Trade Press,Bridge Data Centres,Unknown,2024.0,manual_correction,,"MCJJ+22 Kayu Ara Pasong, Johor, Malaysia",,,,True,v5.1,,,,,,
AIMS Bangunan AIMS / KL2 (Kuala Lumpur),AIMS,3.1493525,101.7060731,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,AIMS Bangunan AIMS / KL2 (Kuala Lumpur),True,False,Trade Press,AIMS,Operational,2024.0,geocoded,,"Lot 17.01, 17th Floor, MCB Plaza 6, Changkat Raja Chulan, 50200, Kuala Lumpur, WP Kuala Lumpur, Bukit Ceylon, 50200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",,,,True,v5.1,,,,,,
AIMS Cyberjaya Block 2,AIMS,2.938,101.657,Trade Press (NER extraction); OpenStreetMap,,,,,physical_facility,2,Malaysia,MYS,Asia,South-Eastern Asia,AIMS Cyberjaya Block 2,True,False,Trade Press,AIMS,Unknown,2025.0,manual_correction,,"WMQ4+6Q Cyberjaya, Selangor, Malaysia",,,,True,v5.1,,,,,,
NTT Gelang Patah Campus (Johor),NTT DATA,1.4515013,103.5970167,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,NTT Gelang Patah Campus (Johor),True,False,Trade Press,NTT DATA,Under Construction,2027.0,geocoded,,"Jalan Skudai - Gelang Patah, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,,True,v5.1,,,,,,
NTT Cyberjaya CBJ6,NTT DATA,2.9272384,101.6588555,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,NTT Cyberjaya CBJ6,True,False,Trade Press,NTT DATA,Operational,2024.0,geocoded,,"43000, Persiaran APEC, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",,,,True,v5.1,,,,,,
"YTL Green Data Center Park (Kulai, Johor)",YTL Power,1.6205686,103.5215847,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,"YTL Green Data Center Park (Kulai, Johor)",True,False,Trade Press,YTL Power,Unknown,2023.0,geocoded,,"JGCC+6J Gunung Pulai Recreational Forest, Pekan Nanas, Johor Darul Ta'zim, Malaysia",,,,True,v5.1,,,,,,
Telekom Malaysia KVDC (Cyberjaya),Telekom Malaysia,2.9320918,101.6570765,Trade Press (NER extraction); OpenStreetMap,,,,,physical_facility,2,Malaysia,MYS,Asia,South-Eastern Asia,Telekom Malaysia KVDC (Cyberjaya),True,False,Trade Press,Telekom Malaysia,Operational,2019.0,geocoded,,"Kompleks TM Cyberjaya, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",,,,True,v5.1,,,,,,
Telekom Malaysia IPDC (Iskandar Puteri),Telekom Malaysia,1.4349479,103.5984284,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,Telekom Malaysia IPDC (Iskandar Puteri),True,False,Trade Press,Telekom Malaysia,Unknown,2024.0,geocoded,,"CHPX+6G, Kampung Baharu, 81550 Gelang Patah, Johor, Malaysia",,,,True,v5.1,,,,,,
TM-Nxera JV Campus (Johor),TM / Nxera,1.434379,103.620491,Trade Press (NER extraction),,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,TM-Nxera JV Campus (Johor),True,False,Trade Press,Telekom Malaysia / Nxera,Unknown,2024.0,geocoded,,"CJMC+Q5, 79100 Gelang Patah, Johor, Malaysia",,,,True,v5.1,,,,,,
